target,L_PAH/LTIR,L_PAH_low/LTIR,L_PAH_up/LTIR,L_PAH_corr/LTIR
COSMOS_1018,0.024560134961989503,0.023022542125768545,0.028627043311340222,0.02803095122066785
COSMOS_996,0.08019289471111553,0.07494721070290578,0.08613070511767831,0.0945947761187975
COSMOS_1148,0.0574919454835799,0.05546727718432377,0.06362891715978669,0.06907523077637893
COSMOS_1025,0.08290914345722028,0.08122078772142319,0.08335407378630312,0.09758752936326555
COSMOS_1757,0.04242287544401772,0.041168037610499676,0.04349904199708122,0.04939572385700678
COSMOS_844,0.030949858525152592,0.029576882051715263,0.033811420542868426,0.03692957310650171
COSMOS_1295,0.03067117285465665,0.029912649918013942,0.03465181147105735,0.035941247365956025
COSMOS_1346,0.05286563710589908,0.05076227799340184,0.060739213274006,0.060429544016569525
