target,PAH3.3_strength,PAH3.3_strength_unc,PAH3.3_strength_16th,PAH3.3_strength_84th,PAH3.3_EW,PAH3.3_EW_unc,PAH3.3_EW_16th,PAH3.3_EW_84th,PAH6.2_strength,PAH6.2_strength_unc,PAH6.2_strength_16th,PAH6.2_strength_84th,PAH6.2_EW,PAH6.2_EW_unc,PAH6.2_EW_16th,PAH6.2_EW_84th,PAH7.7_strength,PAH7.7_strength_unc,PAH7.7_strength_16th,PAH7.7_strength_84th,PAH7.7_EW,PAH7.7_EW_unc,PAH7.7_EW_16th,PAH7.7_EW_84th,PAH8.3_strength,PAH8.3_strength_unc,PAH8.3_strength_16th,PAH8.3_strength_84th,PAH8.3_EW,PAH8.3_EW_unc,PAH8.3_EW_16th,PAH8.3_EW_84th,PAH8.6_strength,PAH8.6_strength_unc,PAH8.6_strength_16th,PAH8.6_strength_84th,PAH8.6_EW,PAH8.6_EW_unc,PAH8.6_EW_16th,PAH8.6_EW_84th,PAH11.3_strength,PAH11.3_strength_unc,PAH11.3_strength_16th,PAH11.3_strength_84th,PAH11.3_EW,PAH11.3_EW_unc,PAH11.3_EW_16th,PAH11.3_EW_84th
COSMOS_1025tot,5.712253483401578e-19,3.7606502832861015e-20,5.349452799978588e-19,6.0448273156189415e-19,0.0400977693399749,0.002967202970581386,0.03743530952868576,0.043145681850386315,4.530943242442294e-18,1.412577579784486e-20,4.515268206556004e-18,4.540034854973235e-18,2.87350805593932,0.13101188241653577,2.6340555824934824,2.9192876811753328,1.432093376236606e-17,2.6828538044758747e-19,1.3774294895711379e-17,1.435048585931195e-17,17.393566874400364,2.434439005880196,12.190779061227524,17.828837146740934,1.4782925269152938e-18,3.959228134615784e-20,1.3994123303635201e-18,1.4871553368435425e-18,1.7807857525430464,0.21459167906387447,1.3398455228113832,1.8297840368518372,2.9602548981145577e-18,1.5136000032763705e-20,2.933856363705542e-18,2.964872444531131e-18,3.4197918820814253,0.27049478103002295,2.8858370394543487,3.487687122578856,2.1989553022475754e-18,3.122471101070352e-20,2.1723736098916235e-18,2.2284141143059514e-18,0.9117242084858455,0.03048840207287928,0.888130575776323,0.9342858749213055
COSMOS_1025A,1.300502913183285e-19,1.3522544434823263e-20,1.1740297962961178e-19,1.4151161934412845e-19,0.050654771228507395,0.007356598897742227,0.04587027094599201,0.056390362326093006,1.114636441411931e-18,7.586111989943778e-21,1.1088420340098366e-18,1.1175070835117922e-18,3.1513350785575396,0.2706286965408009,2.998985739174369,3.227810997332426,3.694623391604084e-18,1.0527319521191643e-19,3.668669893056805e-18,3.7175891334516e-18,14.957550827885365,2.1779831010854633,14.0848157867526,15.902281669125067,3.6517217378085075e-19,1.0692891533455038e-20,3.6096669190098954e-19,3.6866768977863305e-19,1.3667939359275914,0.15319260131199186,1.294373071862011,1.4328879297940713,7.343467762069455e-19,3.486385719466478e-21,7.314699709586601e-19,7.368340233433589e-19,2.607352052117612,0.18086809287485503,2.5086128090854727,2.6878455058958477,6.52643839700145e-19,1.17089273159511e-20,6.447796345583161e-19,6.617523916072247e-19,1.1417778262130427,0.09799256264990089,1.1040794934579887,1.193388636002082
COSMOS_1025ISM,4.032342305290186e-19,3.5188086204227946e-20,3.737767948571534e-19,4.316765382827151e-19,0.0335550692377037,0.003167628841082015,0.030798162372671033,0.03632035378864889,3.3778748420637746e-18,7.016781299412939e-21,3.371780514877894e-18,3.384050223448527e-18,2.7846580559479435,0.09428627253601508,2.6265965163509537,2.8192234618082352,1.052159982560014e-17,1.6508378495756372e-19,1.0183031981737383e-17,1.053736598849997e-17,18.242154395799037,2.3027987063488986,13.318204339619314,18.507398703911292,1.0963900374835605e-18,2.5173851710071824e-20,1.0446525769812917e-18,1.0995942863795382e-18,1.939377220478757,0.2117325101078739,1.490408382850376,1.9659377455419111,2.19702617693756e-18,9.08590384865185e-21,2.1804953369113852e-18,2.2000158300106894e-18,3.754565990383254,0.26784231702884037,3.1802040752294016,3.788572257885972,1.4468759530321971e-18,3.609174424895879e-20,1.424042944933088e-18,1.473112178995319e-18,0.7557660499184805,0.05096304052415322,0.7318674891489753,0.7849017442228082
COSMOS_1757tot,6.4756304157933845e-19,9.477711150883485e-20,5.521274034028105e-19,7.631697313597313e-19,0.1189114451081672,0.08693492916964778,0.07906948459686819,0.2374927111558955,3.1000965610915994e-18,4.191270445641471e-20,3.081706632110019e-18,3.1407650689272216e-18,1.1574034242998135,0.1281465137829224,1.1000015304392168,1.3006191870457784,9.93375074716445e-18,9.221516863538874e-19,9.867876592834182e-18,1.172617987952808e-17,3.785123023374041,1.5626707911568578,3.6585368607545212,6.545301070743775,1.1259812967946052e-18,1.1873190245140516e-19,1.0988071514720102e-18,1.3472589091855025e-18,0.6123490119533526,0.2432030810684493,0.5804920624120246,1.0436828842307073,2.229705861758071e-18,3.66241708283257e-20,2.2134094980519843e-18,2.2821355421390155e-18,1.517298487617602,0.3281863575769336,1.4646064310591695,2.0679633797307937,2.157399963010852e-18,1.7260052723160854e-19,1.944414189318074e-18,2.3273952222335017e-18,1.4805176595391023,0.8697967004656773,0.9374677882484095,2.636230466476822
COSMOS_1757A,1.5349040030212465e-19,2.002074627229014e-20,1.296220162117906e-19,1.7067691944131537e-19,0.13529951092691134,0.07787414287149638,0.07731865634508613,0.18493536975510744,7.631912828376736e-19,2.1740264059169354e-20,7.570589611524695e-19,7.80529487623671e-19,1.3213806322148178,0.43991330239426835,1.2406189123195228,1.5804873070648793,2.7629805222861296e-18,2.629871072190137e-19,2.425169602173102e-18,2.9418770237581687e-18,6.239783791526133,2.9264522467143808,4.0145120553700355,7.602653115934204,3.6308038548820783e-19,2.1201833455835113e-20,3.2164975762115007e-19,3.728027966896453e-19,1.17183029845342,0.2706385565639536,0.762377233008051,1.3437367973899688,5.687553314655301e-19,5.984985155421661e-21,5.632537140073873e-19,5.752664488276015e-19,2.0973329998248014,0.295718507091034,1.6304633096926637,2.328400921121096,5.324733425699927e-19,3.383200310110862e-20,4.988940858395175e-19,5.785286696344171e-19,1.3378946168929002,0.5704939579948094,0.9879419360935947,2.2133448334847214
COSMOS_1757ISM,4.926167663365526e-19,7.763043941803477e-20,4.378028482460697e-19,5.682030656704486e-19,0.08708938367638056,0.67776438948058,0.06970045527129985,0.12743170995983513,2.3525082244199793e-18,3.049942617601495e-20,2.3429951024686546e-18,2.3885081177211825e-18,1.0845297966223026,0.10135065832236727,1.0724341618070872,1.150636729912849,7.498979063171497e-18,4.117975663789972e-19,7.473656059642737e-18,7.554000421632569e-18,3.6635897587396196,1.0192608851566605,3.6056023881388386,3.7537421186381073,8.131206694242308e-19,5.0951642323311476e-20,7.93760601681123e-19,8.312210933833855e-19,0.5700874370592107,0.14133915679240067,0.5448853558592645,0.5991140725205205,1.6626641779285437e-18,1.756610010246177e-20,1.6552325204785647e-18,1.677791215376839e-18,1.4722981715185144,0.19218986205034067,1.4363347677692557,1.5164513089419949,1.4173933086066003e-18,5.900676002602464e-20,1.3895458613852152e-18,1.4641476624995376e-18,0.8301015746074987,0.23364457726181592,0.7898335083736125,0.9465606563715414
COSMOS_844tot,9.935869971753464e-19,-99.0,-99.0,-99.0,0.07806825429924386,0.1372004872684521,0.06753832396915802,0.11064277485169972,2.9982670442496164e-18,4.072629601244904e-20,2.9825791482916823e-18,3.0603019094982947e-18,0.9961573507867789,0.07220664255307728,0.9822546494682136,1.0786872674826795,8.550290079902869e-18,4.1700708976278728e-19,8.51545819993275e-18,8.591627123578067e-18,2.9766643615883703,0.5419153464018142,2.9346936651904647,3.018579394301915,0.0,4.068410263233047e-19,0.0,9.614802895598449e-19,0.0,0.15340251945874903,0.0,0.3605435965905463,1.9069731156444885e-18,4.118874461011183e-20,1.8985757171603556e-18,1.9250291787001072e-18,0.7904242043989855,0.07973337207884454,0.7792952622513873,0.8062988782681422,1.5233528451484374e-18,4.7100662362703944e-20,1.4900001024888028e-18,1.562553208903244e-18,0.6481150956296005,0.06805591715552788,0.6268181085178989,0.6842287928632665
COSMOS_844A,1.7440048787036377e-19,-99.0,-99.0,-99.0,0.08639416357962705,0.028651332466677962,0.07082331723331055,0.10477012171681863,8.155259843624475e-19,1.7119252104317143e-20,7.898805949982282e-19,8.315100999184804e-19,1.2385041470003872,0.18225820015806202,0.9787479862528947,1.4037901044947172,2.8922247936668197e-18,2.57113951003438e-19,2.392451770373708e-18,3.016820676374271e-18,5.397423412900997,1.3425398877514134,3.043310931348284,6.237632768628939,0.0,1.6298261751107999e-19,0.0,3.575819825627801e-19,0.0,0.3343421988520355,0.0,0.7380003304943579,5.739571662486117e-19,1.1944885520881273e-20,5.535064156316852e-19,5.811422602784683e-19,1.2458040946560234,0.1518872337549404,0.9420921570702447,1.2926361229091528,5.810598254185956e-19,1.421893506475009e-20,5.608852002657093e-19,5.922417540836996e-19,1.179300647755472,0.11397375917762763,0.9805700983772896,1.2357621709641518
COSMOS_844ISM,8.77068454138245e-19,-99.0,-99.0,-99.0,0.061358030169365946,0.06260670310523399,0.046887430302076066,0.11181629627878602,2.2014106095121006e-18,2.2961862547470594e-20,2.1872216487929033e-18,2.227561506361964e-18,1.0044273234938554,0.04185531969911267,0.9875867615971891,1.0607152259772727,6.184677079332123e-18,2.257424434798252e-19,6.166801438332825e-18,6.2502253837216976e-18,3.035353061276351,0.38885172263521733,3.0013494341608355,3.1345289871667834,0.0,2.9923348370242175e-19,0.0,7.079750034992157e-19,0.0,0.15682590061520726,0.0,0.36628223819820405,1.381465819908299e-18,2.7807879520167875e-20,1.3749107752111824e-18,1.4070725193764366e-18,0.7791904355686814,0.06333884060610412,0.7705186256611474,0.8167115476160058,9.344903808520498e-19,4.6855006102548264e-20,8.966277323165502e-19,9.776432562070634e-19,0.5057918685307347,0.06903802141385251,0.4817953519324639,0.5879780324543721
COSMOS_1295tot,3.96967231131771e-19,2.50593846712646e-19,0.0,5.470100703422071e-19,0.05138745014193885,0.0725783970938324,0.0,0.12079814286910673,1.849858682758599e-18,5.897261249994892e-20,1.8100667530580614e-18,1.945656549280759e-18,0.6141696873287716,0.049258301487142435,0.58675777061382,0.6987284774707384,5.566356300511048e-18,6.526853503402852e-20,5.44589958923632e-18,5.5875903814321354e-18,2.1627373268849874,0.06721335048181314,2.041180066217427,2.1857143101597756,1.056594049121306e-18,4.08335614018443e-20,9.812593231559072e-19,1.0694797495222273e-18,0.40632473887916565,0.025055944640625993,0.3591168251242375,0.4133778051648847,1.1161264396937406e-18,2.142293378602539e-20,1.0792391543964328e-18,1.1227260633976855e-18,0.44560369453377285,0.017887174014178605,0.414016830713923,0.4507456322715077,1.7214493521705826e-18,5.1964091421378304e-20,1.6665653423153882e-18,1.7583652447057043e-18,0.7971380061739837,0.0598395128864013,0.7203148724647053,0.8450682892184145
COSMOS_1295A,2.6116040374292563e-19,-99.0,-99.0,-99.0,0.0,0.06084209427753713,0.0,0.07749427930491903,5.156519056785229e-19,9.468101800422242e-21,5.103728897739474e-19,5.277068161123611e-19,0.6397712976557635,0.03184678768272573,0.6294173364413495,0.6848813924208652,1.5419540936271168e-18,5.198164444593108e-20,1.5307425430148548e-18,1.5495896124085996e-18,2.043397359223271,0.1773209701462336,2.0067395177692324,2.0740477196529934,2.7931876582254445e-19,1.0839928408524741e-20,2.7251304422728217e-19,2.8381808731412343e-19,0.39105815581733405,0.031837051143908376,0.37715141364910654,0.40240032745655907,3.1103312688070923e-19,6.120829002258822e-21,3.086159515467659e-19,3.1537667258537423e-19,0.47258188171691307,0.024621869143430276,0.4638670795312936,0.4833338583309944,5.168002561394304e-19,1.451953976576342e-20,5.045847807991414e-19,5.328725094924512e-19,0.9139184743067135,0.08428642436489796,0.8728453513768017,0.9659219172445762
COSMOS_1295B,1.8763440510292368e-19,-99.0,-99.0,-99.0,0.0,0.03587592977875645,0.0,0.05762343387659447,3.9675928225344135e-19,1.6743053237599877e-20,3.877591082993903e-19,4.233467889204855e-19,0.7295425068050378,0.08518737511371133,0.6899222324223663,0.8613819841106377,1.1357975252615339e-18,5.225058006513381e-20,1.0982690913990635e-18,1.2110596247912994e-18,2.2887173526499223,0.29286713281179555,2.0857574031168213,2.736491403904824,1.6616023630130275e-19,1.7859503878062273e-20,1.421345017952911e-19,1.856145866442907e-19,0.3406259713900464,0.06262845611601531,0.2692383658394491,0.4195532540346296,2.251404545150935e-19,9.601146842249787e-21,2.1326365648961077e-19,2.3528207522962464e-19,0.4849262625496063,0.05176720749499434,0.4289613134369454,0.5547189803126268,2.6188407557746083e-19,2.1421396453963197e-20,2.364105855779797e-19,2.809274344142444e-19,0.48759290854693266,0.09719414871835265,0.3761455214932952,0.6128453681969827
COSMOS_1295ISM,6.509225401315424e-19,-99.0,-99.0,-99.0,0.0,0.03992169154420243,0.0,0.07486983303416375,9.899228209874116e-19,3.385151513626046e-20,9.39132867558834e-19,1.0109228488479288e-18,0.6153836918889946,0.04478523027564946,0.5463550811748135,0.6397513908630391,2.8845518534813985e-18,3.427686001141657e-20,2.8624838830628086e-18,2.9391155843838326e-18,2.08930478925189,0.07335739804615243,2.039494612099337,2.200687343198424,6.174675615456208e-19,1.92441965063043e-20,5.994521880403969e-19,6.43761671926087e-19,0.42328091620999286,0.023864260756903486,0.40375311369071143,0.4576920480246441,5.880330472016216e-19,1.3169055062195051e-20,5.759152684410806e-19,6.071947235425543e-19,0.4110469166519154,0.01829171618099158,0.3944066139017912,0.43751570157665415,8.622973059254342e-19,3.634549133993075e-20,8.318425490795773e-19,9.07489476389029e-19,0.6305381848017069,0.061463583274836316,0.5943466641669043,0.7173451929781735
COSMOS_1346tot,1.5375983408724864e-18,-99.0,-99.0,-99.0,0.04803307091937415,0.07740644412160048,0.03564458513900126,0.06789073665249676,2.079730143759397e-18,1.3990642489248092e-19,1.8911452872150118e-18,2.2227166812500364e-18,0.8463803330864389,0.4340593943573181,0.6645238706525802,1.1823295049971771,7.528474451453607e-18,4.347698920278638e-19,7.426350561999113e-18,7.780274064138111e-18,6.785465087959538,3.225628855834581,6.320911445867106,7.2994969838655175,9.592395253168376e-19,4.00405587324983e-20,9.259999731751945e-19,9.767608981303635e-19,1.7130210743385192,0.5135234515812457,1.5471302080844178,1.8445694966074981,1.6797665181642682e-18,1.3331636733494331e-20,1.6692629223334314e-18,1.6894891916613026e-18,3.6351059569663153,1.048585641383221,3.3574580243193632,3.859575003490879,2.4852936015840553e-18,1.9860803353215471e-19,2.271966264192886e-18,2.709331009266329e-18,2.068258975527563,2.2401750597105003,1.0733454873001873,4.677869601008081
COSMOS_1346A,2.972308461703436e-19,-99.0,-99.0,-99.0,0.036769242461624455,0.05080550810711739,0.0,0.06288653341392714,4.024393681169261e-19,2.135615004618895e-20,3.8962156124831093e-19,4.3084542932398757e-19,0.6718832648033293,0.15586554917485235,0.6136253958226979,0.8036259511860243,1.6160759337753766e-18,1.089584990862993e-19,1.5600152576224385e-18,1.6521513559717084e-18,5.6244509362533215,1.342890951991784,4.721975111601767,6.377362721759697,2.378483695305675e-19,1.3120632772844622e-20,2.217948292294191e-19,2.468009890834219e-19,1.5267615454426857,0.23578906309091863,1.3076758749754411,1.7884579071591467,3.771438763926788e-19,3.239674721834331e-21,3.735027127834926e-19,3.7977921482586557e-19,2.948052159954101,0.2582681796560109,2.7367041683713245,3.263005365159255,5.791363279615889e-19,6.037203937788292e-20,5.142991431221838e-19,6.420798307764958e-19,1.6370666413343988,1.6776466156697216,0.8837365835923562,4.100959004377709
COSMOS_1346ISM,1.3097118864779535e-18,-99.0,-99.0,-99.0,0.053081274366158254,0.0984732074741731,4.091916633851786e-07,0.08145735112062334,1.6349798678800883e-18,1.2112656974479105e-19,1.474905556580955e-18,1.7712742020634533e-18,0.8071299526261637,0.36970712729939986,0.6130656441094742,1.149737873998672,5.892707935632662e-18,3.4788528381944925e-19,5.828481573856161e-18,5.975305240895428e-18,6.362978717381393,2.6122867591459227,5.979338629800906,6.632933805223026,6.856063909066577e-19,3.398168387524199e-20,6.651793124169153e-19,7.021876735960449e-19,1.4128013144678135,0.4572661684191694,1.2588673861672726,1.540630967580434,1.2744680200500236e-18,9.554577943634013e-21,1.263450421565767e-18,1.2801750807781033e-18,3.161341690051759,0.9981051963877497,2.979001447492903,3.4022106091805537,1.8243172543873312e-18,1.6549105640078716e-19,1.6555794545196995e-18,2.0139316521231583e-18,1.3926944793543004,1.462859838070511,0.8227878623485085,2.7884387253254292
